name,city_name,category,description,latitude,longitude,average_visit_duration,average_cost,rating,image_url,website_url
Eiffel Tower,Paris,landmark,"Iron lattice tower and symbol of Paris",48.8584,2.2945,90,29.00,4.6,https://images.unsplash.com/photo-1511739001486-6bfe10ce785f,https://www.toureiffel.paris/
Louvre Museum,Paris,museum,"World's largest art museum and historic monument",48.8606,2.3376,240,17.00,4.8,https://images.unsplash.com/photo-1566139884669-4b9356b4c040,https://www.louvre.fr/
Tokyo Tower,Tokyo,landmark,"Communications tower inspired by Eiffel Tower",35.6586,139.7454,60,12.00,4.3,https://images.unsplash.com/photo-1540959733332-eab4deabeeaf,https://www.tokyotower.co.jp/
Senso-ji Temple,Tokyo,temple,"Ancient Buddhist temple in Asakusa district",35.7148,139.7967,90,0.00,4.5,https://images.unsplash.com/photo-1545569341-9eb8b30979d9,https://www.senso-ji.jp/
Statue of Liberty,New York,landmark,"Iconic symbol of freedom and democracy",40.6892,-74.0445,180,25.00,4.5,https://images.unsplash.com/photo-1569982175971-d92b01cf8694,https://www.nps.gov/stli/
Central Park,New York,park,"Large public park in Manhattan",40.7829,-73.9654,120,0.00,4.7,https://images.unsplash.com/photo-1564564321837-a57b7070ac4f,https://www.centralparknyc.org/
Big Ben,London,landmark,"Famous clock tower at Palace of Westminster",51.4994,-0.1245,30,0.00,4.4,https://images.unsplash.com/photo-1513635269975-59663e0ac1ad,
Tower Bridge,London,landmark,"Victorian bascule bridge over River Thames",51.5055,-0.0754,45,12.00,4.6,https://images.unsplash.com/photo-1533929736458-ca588d08c8be,https://www.towerbridge.org.uk/
Burj Khalifa,Dubai,landmark,"World's tallest building with observation decks",25.1972,55.2744,120,40.00,4.7,https://images.unsplash.com/photo-1512453979798-5ea266f8880c,https://www.burjkhalifa.ae/
Dubai Mall,Dubai,shopping,"One of the world's largest shopping malls",25.1975,55.2796,180,0.00,4.5,https://images.unsplash.com/photo-1578662996442-48f60103fc96,https://thedubaimall.com/
Sydney Opera House,Sydney,landmark,"Multi-venue performing arts centre",33.8568,151.2153,120,45.00,4.7,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://www.sydneyoperahouse.com/
Sydney Harbour Bridge,Sydney,landmark,"Steel through arch bridge across Sydney Harbour",33.8523,151.2108,60,15.00,4.6,https://images.unsplash.com/photo-1549180030-48bf079fb38a,
Colosseum,Rome,landmark,"Ancient amphitheatre and iconic Roman monument",41.8902,12.4922,120,16.00,4.8,https://images.unsplash.com/photo-1552832230-c0197dd311b5,https://www.coopculture.it/
Vatican Museums,Rome,museum,"Museums of the Vatican City with Sistine Chapel",41.9029,12.4534,180,20.00,4.7,https://images.unsplash.com/photo-1578662996442-48f60103fc96,https://www.museivaticani.va/
Sagrada Familia,Barcelona,landmark,"Unfinished basilica designed by Antoni Gaudí",41.4036,2.1744,90,26.00,4.8,https://images.unsplash.com/photo-1539037116277-4db20889f2d4,https://sagradafamilia.org/
Park Güell,Barcelona,park,"Public park with architectural elements by Gaudí",41.4145,2.1527,120,10.00,4.6,https://images.unsplash.com/photo-1558642452-9d2a7deb7f62,https://www.parkguell.cat/
Grand Palace,Bangkok,palace,"Complex of buildings at the heart of Bangkok",13.7500,100.4915,180,15.00,4.6,https://images.unsplash.com/photo-1563492065-1a5a6e0d8a8b,
Wat Pho Temple,Bangkok,temple,"Temple complex famous for reclining Buddha",13.7465,100.4927,90,3.00,4.7,https://images.unsplash.com/photo-1578662996442-48f60103fc96,
Marina Bay Sands,Singapore,landmark,"Integrated resort with infinity pool",1.2834,103.8607,120,25.00,4.5,https://images.unsplash.com/photo-1565967511849-76a60a516170,https://www.marinabaysands.com/
Gardens by the Bay,Singapore,park,"Nature park with futuristic Supertree structures",1.2816,103.8636,150,0.00,4.8,https://images.unsplash.com/photo-1578662996442-48f60103fc96,https://www.gardensbythebay.com.sg/
